MACEDONIAN STOCK EXCHANGE,,,,,,,,,,
Daily official list No. 209 from 08.11.2024,,,,,,,,,,
Symbol,Avg. price,% chg.,Bid,Ask,Max,Min,Last Trade Price*,Volume,Value in 1000 MKD,Note
R. Makedonija - drzavna obvrznica DO2022/15-1137,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/45-1225dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/06-0449dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/06-0635,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/10-0749dk,101.60,0.00,,,,,101.60,,0.00,
R. Makedonija - drzavna obvrznica DO2016/17-0826,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/18-0826dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/19-0831dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/11-0837dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/23-1048dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/16-1136dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/15-0748dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/12-0934,100.00,0.00,,,,,100.00,,0.00,
R. Makedonija - drzavna obvrznica DO2017/32-1032dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/42-1125dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/43-1130dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/20-0732dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/13-0738,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/32-0825,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/33-0830dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/19-0933,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/20-0933dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/18-0525dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/13-0633dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/27-0932dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/17-0938,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/03-0131dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/17-0632dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/21-0931dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/27-1133dk,106.80,0.00,,,,,106.80,,0.00,
R. Makedonija - drzavna obvrznica DO2016/29-1231dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/10-0332dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/14-0631dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/27-0725dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/28-0730dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/36-1132dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/09-0326,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/38-0925dk,,0.00,,,,,,,0.00,
